Driver,Kart,Tires,Glider,Weight,Acceleration,On-Road Traction,Off-Road Traction,Mini Turbo,Ground Speed,Water Speed,Anti-Gravity Speed,Air Speed,Ground Handling,Water Handling,Anti-Gravity Handling,Air Handling
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Button, Leaf Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",2,3.75,2.25,4,3.5,2.5,2.25,2.5,2,3.75,3.75,4.25,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Button, Leaf Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",2.25,3.75,2.5,3.75,3.5,2.5,2,2.5,2,3.75,4,4,3.75
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Button, Leaf Tires","Super Glider, Waddle Wing, Hylian Kite",2.25,3.5,2.25,4,3.25,2.75,2.25,2.25,2.25,3.75,3.75,4.25,3.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Button, Leaf Tires","Wario Wing, Plane Glider, Gold Glider",2.5,3.5,2.5,3.75,3.25,2.75,2,2.5,2.25,3.75,4,4,3.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Metal, Gold Tires","Cloud Glider, Parachute, Flower Glider, Paper Glider",3,2.5,2.25,3.75,2.25,3.25,2.5,2.25,2,3.5,3.5,3.5,3.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Metal, Gold Tires","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.25,2.5,2.5,3.5,2.25,3.25,2.25,2.25,2,3.5,3.75,3.25,3.25
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Metal, Gold Tires","Super Glider, Waddle Wing, Hylian Kite",3.25,2.25,2.25,3.75,2,3.5,2.5,2,2.25,3.5,3.5,3.5,3
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Metal, Gold Tires","Wario Wing, Plane Glider, Gold Glider",3.5,2.25,2.5,3.5,2,3.5,2.25,2.25,2.25,3.5,3.75,3.25,3
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Monster, Hot Monster","Cloud Glider, Parachute, Flower Glider, Paper Glider",3,3,2.75,5,2.75,2.75,2.25,2.5,1.75,3,3.25,3.25,3.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Monster, Hot Monster","Peach Parasol, Parafoil, Bowser Kite, MKTV Parafoil",3.25,3,3,4.75,2.75,2.75,2,2.5,1.75,3,3.5,3,3.5
"Baby Mario  , Baby Luigi  , Dry Bones  ","Badwagon, Standard ATV, GLA","Monster, Hot Monster","Super Glider, Waddle Wing, Hylian Kite",3.25,2.75,2.75,5,2.5,3,2.25,2.25,2,3,3.25,3.25,3.25
